"","CID","Nome"
"239","V34.3","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um triciclo motorizado traumatizado em acidente não-de-trânsito"
"240","V34.4","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa traumatizada ao subir ou descer do veículo"
"241","V34.5","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor traumatizado em um acidente de trânsito"
"242","V34.6","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito"
"243","V34.7","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"244","V34.9","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um triciclo motorizado traumatizado em um acidente de trânsito"
"245","V35","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário"
"246","V35.0","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - condutor traumatizado em acidente não-de-trânsito"
"247","V35.1","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - passageiro traumatizado em acidente não-de-trânsito"
"248","V35.2","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"249","V35.3","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - ocupante não especificado de um triciclo motorizado traumatizado em acidente não-de-trânsito"
"250","V35.4","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - pessoa traumatizada ao subir ou descer do veículo"
"251","V35.5","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - condutor traumatizado em um acidente de trânsito"
"252","V35.6","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - passageiro traumatizado em um acidente de trânsito"
"253","V35.7","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"254","V35.9","Ocupante de um triciclo motorizado traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - ocupante não especificado de um triciclo motorizado traumatizado em um acidente de trânsito"
"255","V36","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado"
"256","V36.0","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado - condutor traumatizado em acidente não-de-trânsito"
"257","V36.1","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em acidente não-de-trânsito"
"258","V36.2","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"259","V36.3","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de um triciclo motorizado traumatizado em acidente não-de-trânsito"
"260","V36.4","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado - pessoa traumatizada ao subir ou descer do veículo"
"261","V36.5","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado - condutor traumatizado em um acidente de trânsito"
"262","V36.6","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente de trânsito"
"263","V36.7","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"264","V36.9","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de um triciclo motorizado traumatizado em um acidente de trânsito"
"265","V37","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado"
"266","V37.0","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado - condutor traumatizado em acidente não-de-trânsito"
"267","V37.1","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em acidente não-de-trânsito"
"268","V37.2","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"269","V37.3","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um triciclo motorizado traumatizado em acidente não-de-trânsito"
"270","V37.4","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado - pessoa traumatizada ao subir ou descer do veículo"
"271","V37.5","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado - condutor traumatizado em um acidente de trânsito"
"272","V37.6","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente de trânsito"
"273","V37.7","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"274","V37.9","Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um triciclo motorizado traumatizado em um acidente de trânsito"
"275","V38","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão"
"276","V38.0","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão - condutor traumatizado em acidente não-de-trânsito"
"277","V38.1","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em acidente não-de-trânsito"
"278","V38.2","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"279","V38.3","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um triciclo motorizado traumatizado em acidente não-de-trânsito"
"280","V38.4","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão - pessoa traumatizada ao subir ou descer do veículo"
"281","V38.5","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão - condutor traumatizado em um acidente de trânsito"
"282","V38.6","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito"
"283","V38.7","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"284","V38.9","Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um triciclo motorizado traumatizado em um acidente de trânsito"
"285","V39","Ocupante de um triciclo motorizado traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"286","V39.0","Condutor traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"287","V39.1","Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"288","V39.2","Ocupante não especificado de um triciclo motorizado traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"289","V39.3","Ocupante (qualquer) de um triciclo motorizado traumatizado em um acidente não especificado e não-de-trânsito"
"290","V39.4","Condutor traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"291","V39.5","Passageiro traumatizado em colisão outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"292","V39.6","Ocupante não especificado de um triciclo motorizado traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"293","V39.8","Ocupante (qualquer) de um triciclo motorizado traumatizado em outros acidentes de trânsito especificados"
"294","V39.9","Ocupante (qualquer) de um triciclo motorizado, traumatizado em acidente de trânsito não especificado"
"295","V40","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal"
"296","V40.0","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"297","V40.1","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente não-de-trânsito"
"298","V40.2","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"299","V40.3","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um automóvel (carro) traumatizado em um acidente não-de-trânsito"
"300","V40.4","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal - pessoa traumatizada ao subir ou descer do veículo"
"301","V40.5","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal - condutor (motorista) traumatizado em um acidente de trânsito"
"302","V40.6","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente de trânsito"
"303","V40.7","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"304","V40.9","Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um automóvel (carro) traumatizado em um acidente de trânsito"
"305","V41","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal"
"306","V41.0","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"307","V41.1","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente não-de-trânsito"
"308","V41.2","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"309","V41.3","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal - ocupante não especificado de um automóvel (carro) traumatizado em um acidente não-de-trânsito"
"310","V41.4","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal - pessoa traumatizada ao subir ou descer do veículo"
"311","V41.5","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal - condutor (motorista) traumatizado em um acidente de trânsito"
"312","V41.6","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente de trânsito"
"313","V41.7","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"314","V41.9","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal - ocupante não especificado de um automóvel (carro) traumatizado em um acidente de trânsito"
"315","V42","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas"
"316","V42.0","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"317","V42.1","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente não-de-trânsito"
"318","V42.2","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"319","V42.3","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas - ocupante não especificado de um automóvel (carro) traumatizado em um acidente não-de-trânsito"
"320","V42.4","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas - pessoa traumatizada ao subir ou descer do veículo"
"321","V42.5","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas - condutor (motorista) traumatizado em um acidente de trânsito"
"322","V42.6","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente de trânsito"
"323","V42.7","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"324","V42.9","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo a motor de duas ou três rodas - ocupante não especificado de um automóvel (carro) traumatizado em um acidente de trânsito"
"325","V43","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete"""
"326","V43.0","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"327","V43.1","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - passageiro traumatizado em um acidente não-de-trânsito"
"328","V43.2","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"329","V43.3","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - ocupante não especificado de um automóvel (carro) traumatizado em um acidente não-de-trânsito"
"330","V43.4","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - pessoa traumatizada ao subir ou descer do veículo"
"331","V43.5","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - condutor (motorista) traumatizado em um acidente de trânsito"
"332","V43.6","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - passageiro traumatizado em um acidente de trânsito"
"333","V43.7","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"334","V43.9","Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - ocupante não especificado de um automóvel (carro) traumatizado em um acidente de trânsito"
"335","V44","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"336","V44.0","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"337","V44.1","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente não-de-trânsito"
"338","V44.2","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"339","V44.3","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um automóvel (carro) traumatizado em um acidente não-de-trânsito"
"340","V44.4","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa traumatizada ao subir ou descer do veículo"
"341","V44.5","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor (motorista) traumatizado em um acidente de trânsito"
"342","V44.6","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito"
"343","V44.7","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"344","V44.9","Ocupante de um automóvel (carro) traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um automóvel (carro) traumatizado em um acidente de trânsito"
"345","V45","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário"
"346","V45.0","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"347","V45.1","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - passageiro traumatizado em um acidente não-de-trânsito"
"348","V45.2","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"349","V45.3","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - ocupante não especificado de um automóvel (carro) traumatizado em um acidente não-de-trânsito"
"350","V45.4","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - pessoa traumatizada ao subir ou descer do veículo"
"351","V45.5","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - condutor (motorista) traumatizado em um acidente de trânsito"
"352","V45.6","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - passageiro traumatizado em um acidente de trânsito"
"353","V45.7","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"354","V45.9","Ocupante de um automóvel (carro) traumatizado em colisão com um trem (comboio) ou um veículo ferroviário - ocupante não especificado de um automóvel (carro) traumatizado em um acidente de trânsito"
"355","V46","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado"
"356","V46.0","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"357","V46.1","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente não-de-trânsito"
"358","V46.2","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"359","V46.3","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de um automóvel (carro) traumatizado em um acidente não-de-trânsito"
"360","V46.4","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado - pessoa traumatizada ao subir ou descer do veículo"
"361","V46.5","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado - condutor (motorista) traumatizado em um acidente de trânsito"
"362","V46.6","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente de trânsito"
"363","V46.7","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"364","V46.9","Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de um automóvel (carro) traumatizado em um acidente de trânsito"
"365","V47","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado"
"366","V47.0","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"367","V47.1","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente não-de-trânsito"
"368","V47.2","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"369","V47.3","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um automóvel (carro) traumatizado em um acidente não-de-trânsito"
"370","V47.4","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado - pessoa traumatizada ao subir ou descer do veículo"
"371","V47.5","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado - condutor (motorista) traumatizado em um acidente de trânsito"
"372","V47.6","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente de trânsito"
"373","V47.7","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"374","V47.9","Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um automóvel (carro) traumatizado em um acidente de trânsito"
"375","V48","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão"
"376","V48.0","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"377","V48.1","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente não-de-trânsito"
"378","V48.2","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"379","V48.3","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um automóvel (carro) traumatizado em um acidente não-de-trânsito"
"380","V48.4","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão - pessoa traumatizada ao subir ou descer do veículo"
"381","V48.5","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão - condutor (motorista) traumatizado em um acidente de trânsito"
"382","V48.6","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito"
"383","V48.7","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"384","V48.9","Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um automóvel (carro) traumatizado em um acidente de trânsito"
"385","V49","Ocupante de um automóvel (carro) traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados"
"386","V49.0","Condutor (motorista) traumatizado em colisão com outros veículos e com veículos não especificados, a motor em um acidente não-de-trânsito"
"387","V49.1","Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"388","V49.2","Ocupante não especificado de um automóvel (carro) traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"389","V49.3","Ocupante (qualquer) de um automóvel (carro) traumatizado em um acidente não especificado e não-de-trânsito"
"390","V49.4","Condutor (motorista) traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"391","V49.5","Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"392","V49.6","Ocupante não especificado de um automóvel (carro) traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"393","V49.8","Ocupante (qualquer) de um automóvel (carro) traumatizado em outros acidentes de transporte especificados"
"394","V49.9","Ocupante (qualquer) de um automóvel (carro), traumatizado em um acidente de trânsito não especificado"
"395","V50","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal"
"396","V50.0","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"397","V50.1","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente não-de-trânsito"
"398","V50.2","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"399","V50.3","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito"
"400","V50.4","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - pessoa traumatizado ao subir ou descer do veículo"
"401","V50.5","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - condutor (motorista) traumatizado em um acidente de trânsito"
"402","V50.6","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente de trânsito"
"403","V50.7","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"404","V50.9","Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito"
"405","V51","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal"
"406","V51.0","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"407","V51.1","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente não-de-trânsito"
"408","V51.2","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"409","V51.3","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito"
"410","V51.4","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal - pessoa traumatizado ao subir ou descer do veículo"
"411","V51.5","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal - condutor (motorista) traumatizado em um acidente de trânsito"
"412","V51.6","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente de trânsito"
"413","V51.7","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"414","V51.9","Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito"
"415","V52","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas"
"416","V52.0","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"417","V52.1","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente não-de-trânsito"
"418","V52.2","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"419","V52.3","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito"
"420","V52.4","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas - pessoa traumatizado ao subir ou descer do veículo"
"421","V52.5","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas - condutor (motorista) traumatizado em um acidente de trânsito"
"422","V52.6","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente de trânsito"
"423","V52.7","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"424","V52.9","Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito"
"425","V53","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete"
"426","V53.0","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete - condutor (motorista) traumatizado em um acidente não-de-trânsito"
"427","V53.1","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete - passageiro traumatizado em um acidente não-de-trânsito"
"428","V53.2","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"429","V53.3","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito"
"430","V53.4","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete - pessoa traumatizado ao subir ou descer do veículo"
"431","V53.5","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete - condutor (motorista) traumatizado em um acidente de trânsito"
"432","V53.6","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete - passageiro traumatizado em um acidente de trânsito"
"433","V53.7","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"434","V53.9","Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhonete - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito"
